PrefCode,Prefecture,RegionalCode,Region
1,Hokkaido,1,North
2,Aomori,1,North
3,Iwate,1,North
4,Miyagi,1,North
5,Akita,1,North
6,Yamagata,1,North
7,Fukushima,1,North
8,Ibaraki,2,East
9,Tochigi,2,East
10,Gunma,2,East
11,Saitama,2,East
12,Chiba,2,East
13,Tokyo,2,East
14,Kanagawa,2,East
15,Niigata,3,Central
16,Toyama,3,Central
17,Ishikawa,3,Central
18,Fukui,3,Central
19,Yamanashi,3,Central
20,Nagano,3,Central
21,Gifu,3,Central
22,Shizuoka,3,Central
23,Aichi,3,Central
24,Mie,4,Kansai
25,Shiga,4,Kansai
26,Kyoto,4,Kansai
27,Osaka,4,Kansai
28,Hyogo,4,Kansai
29,Nara,4,Kansai
30,Wakayama,4,Kansai
31,Tottori,5,West
32,Shimane,5,West
33,Okayama,5,West
34,Hiroshima,5,West
35,Yamaguchi,5,West
36,Tokushima,5,West
37,Kagawa,5,West
38,Ehime,5,West
39,Kochi,5,West
40,Fukuoka,6,South
41,Saga,6,South
42,Nagasaki,6,South
43,Kumamoto,6,South
44,Oita,6,South
45,Miyazaki,6,South
46,Kagoshima,6,South
47,Okinawa,6,South
